DEPT OF HEALTH/MENTAL HYGIENE,Internal,"City Clinician, Bureau of Sexually Transmitted Disease Control",CITY CLINICIAN,00,Below 50K,STD Medical Services
DEPARTMENT OF TRANSPORTATION,Internal,Marine Oiler,MARINE OILER(FERRY OPERATIONS),00,Below 50K,F&Ga Marine Oilers-St George
ADMIN FOR CHILDREN'S SVCS,External,Tracking and Monitoring Data Analyst,ASSOCIATE STAFF ANALYST,00,Above 50K,Headstart (ECE)
ADMIN FOR CHILDREN'S SVCS,Internal,Tracking and Monitoring Data Analyst,ASSOCIATE STAFF ANALYST,00,Above 50K,Headstart (ECE)
DEPT OF PARKS & RECREATION,Internal,Landscape Architect,LANDSCAPE ARCHITECT,01,Above 50K,CP ADMIN
DEPT OF PARKS & RECREATION,External,Landscape Architect,LANDSCAPE ARCHITECT,01,Above 50K,CP ADMIN
DEPT OF PARKS & RECREATION,Internal,Landscape Architect,LANDSCAPE ARCHITECT,01,Above 50K,CP ADMIN
ADMIN FOR CHILDREN'S SVCS,Internal,Network Engineer I LAN/WAN,CERTIFIED IT ADMINISTRATOR LAN,01,Above 50K,"Mis Admin,Network Sysms Dvlpmt"
ADMIN FOR CHILDREN'S SVCS,External,Network Engineer I LAN/WAN,CERTIFIED IT ADMINISTRATOR LAN,01,Above 50K,"Mis Admin,Network Sysms Dvlpmt"
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Supervisor, Bureau of HIV/AIDS Prevention and Control",SUPERVISING PUBLIC HEALTH ADVI,00,Below 50K,HIV/AIDS Prevention
DEPT OF HEALTH/MENTAL HYGIENE,External,"Supervisor, Bureau of HIV/AIDS Prevention and Control",SUPERVISING PUBLIC HEALTH ADVI,00,Below 50K,HIV/AIDS Prevention
DEPT OF HEALTH/MENTAL HYGIENE,External,"Health Inspector, Bureau of Environmental Disease and Injury Prevention",PUBLIC HEALTH SANITARIAN,02,Below 50K,Env Health Assess and Comm
DEPT OF ENVIRONMENT PROTECTION,Internal,EHS Compliance Support Specialist,ASSOCIATE PUBLIC HEALTH SANITA,01,Above 50K,Lead Monitor - Lefrak
DEPT OF ENVIRONMENT PROTECTION,External,EHS Compliance Support Specialist,ASSOCIATE PUBLIC HEALTH SANITA,01,Above 50K,Lead Monitor - Lefrak
DEPT OF HEALTH/MENTAL HYGIENE,Internal,College Aide -  Bureau of Veterinary and Pest Control Services  (Vector Surveillance),COLLEGE AIDE (ALL CITY DEPTS),01,Below 50K,Vector Surveillance
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Laboratory Microbiologist, Bureau of Sexually Transmitted Disease Control",LABORATORY MICROBIOLOGIST,01,Below 50K,STD Laboratory Services
DEPT OF ENVIRONMENT PROTECTION,External,Mechanical Engineer,MECHANICAL ENGINEER,01,Above 50K,Dept of Environment Protection
DEPT OF HEALTH/MENTAL HYGIENE,External,"Application Examiner, Office of Vital Records (Corrections and Amendments Unit)",CLERICAL ASSOCIATE,04,Below 50K,Vital Statistics/Vital Recor
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Application Examiner, Office of Vital Records (Corrections and Amendments Unit)",CLERICAL ASSOCIATE,04,Below 50K,Vital Statistics/Vital Recor
DEPT OF HEALTH/MENTAL HYGIENE,External,College Aide -  Bureau of Veterinary and Pest Control Services  (Vector Surveillance),COLLEGE AIDE (ALL CITY DEPTS),01,Below 50K,Vector Surveillance
DEPT OF HEALTH/MENTAL HYGIENE,External,"Laboratory Microbiologist, Bureau of Sexually Transmitted Disease Control",LABORATORY MICROBIOLOGIST,01,Below 50K,STD Laboratory Services
DEPT OF INFO TECH & TELECOMM,Internal,311 Call Center Manager,ADM MANAGER-NON-MGRL FRM M1/M2,00,Above 50K,311 Operations
DEPT OF HEALTH/MENTAL HYGIENE,External,"Technical Project Manager, Bureau of IT Solutions and Delivery",COMPUTER SYSTEMS MANAGER,M1,Above 50K,IT Strategy Project Management
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Technical Project Manager, Bureau of IT Solutions and Delivery",COMPUTER SYSTEMS MANAGER,M1,Above 50K,IT Strategy Project Management
DEPT OF HEALTH/MENTAL HYGIENE,Internal,Laboratory Helper,LABORATORY HELPER,01,Below 50K,OCME-DNA
DEPT OF ENVIRONMENT PROTECTION,Internal,CAPITAL BUDGET MANANGEMENT OFFICE LIAISON,ASSOCIATE STAFF ANALYST,00,Above 50K,Administration/OTPS Budget
DEPT OF ENVIRONMENT PROTECTION,Internal,CAPITAL BUDGET MANANGEMENT OFFICE LIAISON,ASSOCIATE STAFF ANALYST,00,Above 50K,Administration/OTPS Budget
ADMIN FOR CHILDREN'S SVCS,External,Director of Nursing/Nurse Practitioner,ADMINISTRATIVE PUBLIC HEALTH N,M3,Above 50K,Office Of Chld & Fmly Hlth-Fss
DEPT OF HEALTH/MENTAL HYGIENE,External,Laboratory Helper,LABORATORY HELPER,01,Below 50K,OCME-DNA
DEPT OF ENVIRONMENT PROTECTION,Internal,Water Resources Analyst,CITY RESEARCH SCIENTIST,02,Above 50K,Dept of Environment Protection
DEPT OF ENVIRONMENT PROTECTION,Internal,Civil Engineering Intern,CIVIL ENGINEERING INTERN,00,Below 50K,Green Infrastructure
DEPT OF ENVIRONMENT PROTECTION,External,Water Resources Analyst,CITY RESEARCH SCIENTIST,02,Above 50K,Dept of Environment Protection
HOUSING PRESERVATION & DVLPMNT,External,Technical Researcher,CITY RESEARCH SCIENTIST,01,Above 50K,Research & Program Evaluation
HOUSING PRESERVATION & DVLPMNT,Internal,Technical Researcher,CITY RESEARCH SCIENTIST,01,Above 50K,Research & Program Evaluation
ADMIN FOR CHILDREN'S SVCS,Internal,Director of Nursing/Nurse Practitioner,ADMINISTRATIVE PUBLIC HEALTH N,M3,Above 50K,Office Of Chld & Fmly Hlth-Fss
DEPT OF ENVIRONMENT PROTECTION,External,Design Engineer,CIVIL ENGINEER,01,Above 50K,Dept of Environment Protection
DEPT OF ENVIRONMENT PROTECTION,Internal,Design Engineer,CIVIL ENGINEER,01,Above 50K,Dept of Environment Protection
DEPT OF ENVIRONMENT PROTECTION,External,REPOST - (Per Diem) E-Learning Content Developer (Per Diem - Remote Learning Team Specialist),COMPUTER PROGRAMMER ANALYST,01,Below 50K,Lead Monitor - Lefrak
DEPT OF HEALTH/MENTAL HYGIENE,External,"Supervising MD, Bureau of School Health",CITY MEDICAL SPECIALIST (PART-,02,Below 50K,SH Medical
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Supervising MD, Bureau of School Health",CITY MEDICAL SPECIALIST (PART-,02,Below 50K,SH Medical
DEPT OF HEALTH/MENTAL HYGIENE,External,"Field Operations Coordinator, Bureau of Immunization (Immunization Registry)",CITY RESEARCH SCIENTIST,02,Above 50K,Immunization Registry
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Field Operations Coordinator, Bureau of Immunization (Immunization Registry)",CITY RESEARCH SCIENTIST,02,Above 50K,Immunization Registry
DEPT OF ENVIRONMENT PROTECTION,Internal,REPOST - (Per Diem) E-Learning Content Developer (Per Diem - Remote Learning Team Specialist),COMPUTER PROGRAMMER ANALYST,01,Below 50K,Lead Monitor - Lefrak
DEPT OF PARKS & RECREATION,Internal,Forester,FORESTER,02,Below 50K,Forestry
DEPT OF PARKS & RECREATION,Internal,Forester,FORESTER,02,Below 50K,Forestry
NYC HOUSING AUTHORITY,External,HEATING PLANT TECHNICIAN,HEATING PLANT TECHNICIAN (HA),00,Below 50K,Technical Services Department
DEPT OF HEALTH/MENTAL HYGIENE,External,Budget Director,ADMINISTRATIVE STAFF ANALYST (,00,Above 50K,OCME-Admin
DEPT OF HEALTH/MENTAL HYGIENE,Internal,Budget Director,ADMINISTRATIVE STAFF ANALYST (,00,Above 50K,OCME-Admin
DEPT OF PARKS & RECREATION,External,Forester,FORESTER,02,Below 50K,Forestry
DEPT OF ENVIRONMENT PROTECTION,External,City Planning Technician,CITY PLANNING TECHNICIAN,00,Below 50K,Dept of Environment Protection
DEPT OF ENVIRONMENT PROTECTION,Internal,City Planning Technician,CITY PLANNING TECHNICIAN,00,Below 50K,Dept of Environment Protection
DEPT OF ENVIRONMENT PROTECTION,External,Seasonal City Park Worker,CITY PARK WORKER,00,Below 50K,Green Infrastructure
DEPT OF INFO TECH & TELECOMM,Internal,GIS Analyst,COMPUTER PROGRAMMER ANALYST,01,Below 50K,Enterprise APP Services
LAW DEPARTMENT,Internal,Facilities Central Supervisor,CLERICAL ASSOCIATE,03,Below 50K,Admin Services
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Supervising Exterminator, Bureau of Veterinary and Pest Control Services",SUPERVISOR (EXTERMINATORS),01,Below 50K,Pest Control Services
DEPT OF ENVIRONMENT PROTECTION,Internal,Seasonal City Park Worker,CITY PARK WORKER,00,Below 50K,Green Infrastructure
DEPT OF HEALTH/MENTAL HYGIENE,External,Administrative on Duty,FORENSIC MORTUARY TECHNICIAN,03,Below 50K,OCME-Pathology
DEPT OF HEALTH/MENTAL HYGIENE,External,"Complaint Response Investigator, Bureau of Childcare",INVESTIGATOR,00,Below 50K,Child Care
DEPT OF HEALTH/MENTAL HYGIENE,Internal,Administrative on Duty,FORENSIC MORTUARY TECHNICIAN,03,Below 50K,OCME-Pathology
DEPT OF HEALTH/MENTAL HYGIENE,External,"Financial Analyst, Bureau of Mental Hygiene Administration",ACCOUNTANT,01,Below 50K,MHy Admin - Contracts/Finance
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Financial Analyst, Bureau of Mental Hygiene Administration",ACCOUNTANT,01,Below 50K,MHy Admin - Contracts/Finance
DEPT OF HEALTH/MENTAL HYGIENE,External,"Supervising Exterminator, Bureau of Veterinary and Pest Control Services",SUPERVISOR (EXTERMINATORS),01,Below 50K,Pest Control Services
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Complaint Response Investigator, Bureau of Childcare",INVESTIGATOR,00,Below 50K,Child Care
DEPT OF HEALTH/MENTAL HYGIENE,Internal,Communications Specialist,CLERICAL ASSOCIATE,01,Below 50K,OCME-Operations
DEPT OF INFO TECH & TELECOMM,Internal,Research Assistant,RESEARCH ASSISTANT,00,Below 50K,General Counsel
DEPARTMENT OF TRANSPORTATION,Internal,Systems Administrator - Computer Software,CERTIFIED IT ADMINISTRATOR LAN,03,Above 50K,IT & Telecom
DEPT OF HEALTH/MENTAL HYGIENE,External,Nurse Practitioner,NURSE PRACTITIONER(DEPT HEALTH,03,Above 50K,STD Medical Services
DEPARTMENT OF BUILDINGS,External,"Mechanical Engineer, Cranes & Derricks",MECHANICAL ENGINEER,02,Above 50K,Cranes & Derricks
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Public Health Advisor, Bureau of STD Prevention and Control",PUBLIC HEALTH ADVISER,01,Below 50K,STD Special Projects
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Labor Relations Specialist, Bureau of Human Resources and Labor Relations",LABOR RELATIONS ANALYST,02,Above 50K,HR Central
DEPT OF HEALTH/MENTAL HYGIENE,External,"Labor Relations Specialist, Bureau of Human Resources and Labor Relations",LABOR RELATIONS ANALYST,02,Above 50K,HR Central
NYC EMPLOYEES RETIREMENT SYS,External,CERTIFIED IT ADMINISTRATOR (WAN),CERT. IT ADMINISTRATOR WAN,04,Above 50K,Executive Management
DEPT OF ENVIRONMENT PROTECTION,Internal,ELECTRICAL ENGINEERING INTERN,ELECTRICAL ENGINEERING INTERN,00,Below 50K,Central Brookly City Operation
NYC EMPLOYEES RETIREMENT SYS,Internal,CERTIFIED IT ADMINISTRATOR (WAN),CERT. IT ADMINISTRATOR WAN,04,Above 50K,Executive Management
DEPARTMENT OF FINANCE,External,Chief Information Security Officer,COMPUTER SYSTEMS MANAGER,M5,Above 50K,Office of the CIO
DEPT OF ENVIRONMENT PROTECTION,External,Assistant Engineer,ASSISTANT ENVIRONMENTAL ENGINE,00,Above 50K,Dept of Environment Protection
DEPT OF ENVIRONMENT PROTECTION,Internal,Assistant Engineer,ASSISTANT ENVIRONMENTAL ENGINE,00,Above 50K,Dept of Environment Protection
DEPT OF ENVIRONMENT PROTECTION,External,ELECTRICAL ENGINEERING INTERN,ELECTRICAL ENGINEERING INTERN,00,Below 50K,Central Brookly City Operation
DEPT OF INFO TECH & TELECOMM,Internal,Senior IT Security Network Engineer,CERT. IT ADMINISTRATOR WAN,04,Above 50K,IT Svcs Delivery
DEPARTMENT OF FINANCE,Internal,Chief Information Security Officer,COMPUTER SYSTEMS MANAGER,M5,Above 50K,Office of the CIO
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Laboratory Microbiologist, Bureau of Public Health Laboratory",LABORATORY MICROBIOLOGIST,02,Below 50K,Virology/Immunology
DEPT OF HEALTH/MENTAL HYGIENE,External,"Laboratory Microbiologist, Bureau of Public Health Laboratory",LABORATORY MICROBIOLOGIST,02,Below 50K,Virology/Immunology
DEPT OF INFO TECH & TELECOMM,External,Senior IT Security Network Engineer,CERT. IT ADMINISTRATOR WAN,04,Above 50K,IT Svcs Delivery
DEPARTMENT OF TRANSPORTATION,Internal,Senior Software Developer,COMPUTER SPECIALIST (SOFTWARE),04,Above 50K,IT & Telecom
DEPARTMENT OF TRANSPORTATION,External,Senior Software Developer,COMPUTER SPECIALIST (SOFTWARE),04,Above 50K,IT & Telecom
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Supervising Public Health Nurse, Bureau of School Health",PUBLIC HEALTH NURSE,02,Below 50K,SH Nursing Services & Prof Dev
DEPT OF HEALTH/MENTAL HYGIENE,Internal,Senior Software Developer,COMPUTER ASSOC (SOFTWARE),03,Above 50K,OCME-Operations
DEPT OF HEALTH/MENTAL HYGIENE,External,Senior Software Developer,COMPUTER ASSOC (SOFTWARE),03,Above 50K,OCME-Operations
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"NFP Nurse Home Visitor, Bureau of Maternal Infant and Reproductive Health",FAMILY PUB HEALTH NURSE (HMH),00,Above 50K,MIRH Nurse Family Partnership
DEPT OF HEALTH/MENTAL HYGIENE,External,"NFP Nurse Home Visitor, Bureau of Maternal Infant and Reproductive Health",FAMILY PUB HEALTH NURSE (HMH),00,Above 50K,MIRH Nurse Family Partnership
DEPT OF ENVIRONMENT PROTECTION,Internal,Air & Noise Pollution Inspector,AIR POLLUTION INSPECTOR,01,Below 50K,Air Resources/Enforcement
DEPT OF ENVIRONMENT PROTECTION,External,Air & Noise Pollution Inspector,AIR POLLUTION INSPECTOR,01,Below 50K,Air Resources/Enforcement
DEPT OF HEALTH/MENTAL HYGIENE,External,"Senior Case Manager, Bureau of Veterinary and Pest Control Services",ASSOCIATE PUBLIC HEALTH SANITA,01,Above 50K,Pest Control Services
TAXI & LIMOUSINE COMMISSION,Internal,Administrative Attorney for Fitness Review Unit,AGENCY ATTORNEY,01,Above 50K,Licensing Division Exec Offi
TAXI & LIMOUSINE COMMISSION,External,Administrative Attorney for Fitness Review Unit,AGENCY ATTORNEY,01,Above 50K,Licensing Division Exec Offi
DEPT OF HEALTH/MENTAL HYGIENE,Internal,Public Health Nurse (School Health),PUBLIC HEALTH NURSE (SCHOOL HE,01,Below 50K,SH Reproductive Health
DEPT OF HEALTH/MENTAL HYGIENE,External,Public Health Nurse (School Health),PUBLIC HEALTH NURSE (SCHOOL HE,01,Below 50K,SH Reproductive Health
DEPT OF HEALTH/MENTAL HYGIENE,External,"Office Manager,  Bureau of Maternal Infant and Reproductive Health",CLERICAL ASSOCIATE,03,Below 50K,MIRH Newborn Home Visiting
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Office Manager,  Bureau of Maternal Infant and Reproductive Health",CLERICAL ASSOCIATE,03,Below 50K,MIRH Newborn Home Visiting
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Senior Case Manager, Bureau of Veterinary and Pest Control Services",ASSOCIATE PUBLIC HEALTH SANITA,01,Above 50K,Pest Control Services
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Office Clerk AOT, Bureau of Mental Health",CLERICAL ASSOCIATE,02,Below 50K,MH - Assisted out Treatment
DEPT OF HEALTH/MENTAL HYGIENE,External,"Office Clerk AOT, Bureau of Mental Health",CLERICAL ASSOCIATE,02,Below 50K,MH - Assisted out Treatment
DEPT OF HEALTH/MENTAL HYGIENE,External,Co-Response Coordinator .Bureau of Mental Hygiene,CONSULTANT (PUBLIC HEALTH-SOCI,00,Above 50K,Mental Health
DEPT OF HEALTH/MENTAL HYGIENE,Internal,Co-Response Coordinator .Bureau of Mental Hygiene,CONSULTANT (PUBLIC HEALTH-SOCI,00,Above 50K,Mental Health
NYC HOUSING AUTHORITY,Internal,INDUSTRIAL HYGIENIST L-II,INDUSTRIAL HYGIENIST,02,Above 50K,Technical Services Department
DEPT OF HEALTH/MENTAL HYGIENE,External,"Office Clerk, Riker's Unit, Bureau of Mental Health",CLERICAL ASSOCIATE,03,Below 50K,MH - Assisted out Treatment
HOUSING PRESERVATION & DVLPMNT,External,Senior Policy Analyst,ASSOCIATE HOUSING DEVELOPMENT,00,Above 50K,Executive-Housing Incentives
HOUSING PRESERVATION & DVLPMNT,Internal,Senior Policy Analyst,ASSOCIATE HOUSING DEVELOPMENT,00,Above 50K,Executive-Housing Incentives
DEPARTMENT OF FINANCE,Internal,Project Manager,ADMINISTRATIVE STAFF ANALYST (,00,Above 50K,D/C of Tax Audit & Enforcement
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Complaint Response Investigator, Bureau of Childcare",INVESTIGATOR,00,Below 50K,Child Care
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Office Clerk, Riker's Unit, Bureau of Mental Health",CLERICAL ASSOCIATE,03,Below 50K,MH - Assisted out Treatment
DEPT OF INFO TECH & TELECOMM,Internal,311 Call Center Manager,ADM MANAGER-NON-MGRL FRM M1/M2,00,Above 50K,311 Operations
ADMIN FOR CHILDREN'S SVCS,Internal,Pre-Placement Staff Nurse,STAFF NURSE,00,Above 50K,Office Of Chld & Fmly Hlth-Fss
ADMIN FOR CHILDREN'S SVCS,External,Pre-Placement Staff Nurse,STAFF NURSE,00,Above 50K,Office Of Chld & Fmly Hlth-Fss
DEPT OF HEALTH/MENTAL HYGIENE,External,"Clerical Associate, Bureau of Veterinary and Pest Control Services",CLERICAL ASSOCIATE,03,Below 50K,off of Veter Public Health S
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Office Assistant, Office of the Agency Chief Contracting Officer",COLLEGE AIDE (ALL CITY DEPTS),01,Below 50K,Acco/Contracts
DEPARTMENT OF FINANCE,External,Project Manager,ADMINISTRATIVE STAFF ANALYST (,00,Above 50K,D/C of Tax Audit & Enforcement
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Public Health Advisor, Bureau of Sexually Transmitted Diseases Prevention and Control",PUBLIC HEALTH ADVISER,02,Below 50K,STD Case Invstgn & Partner Srv
DEPT OF HEALTH/MENTAL HYGIENE,External,"Program Administrator/Administrative Specialist, Bureau of Maternal Infant and Reproductive Health",PRINCIPAL ADMINISTRATIVE ASSOC,02,Below 50K,MIRH Newborn Home Visiting
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Clerical Associate, Bureau of Veterinary and Pest Control Services",CLERICAL ASSOCIATE,03,Below 50K,off of Veter Public Health S
DEPT OF HEALTH/MENTAL HYGIENE,External,"Office Assistant, Office of the Agency Chief Contracting Officer",COLLEGE AIDE (ALL CITY DEPTS),01,Below 50K,Acco/Contracts
DEPT OF HEALTH/MENTAL HYGIENE,External,"Nurse, Bureau of School Health",PUBLIC HEALTH NURSE (SCHOOL HE,01,Below 50K,SH Nursing Services & Prof Dev
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Nurse, Bureau of School Health",PUBLIC HEALTH NURSE (SCHOOL HE,01,Below 50K,SH Nursing Services & Prof Dev
HOUSING PRESERVATION & DVLPMNT,Internal,Construction Project Manager,CONSTRUCTION PROJECT MANAGER,02,Above 50K,Construction Services
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"City Medical Specialist, Bureau of STD Prevention and Control",CITY MEDICAL SPECIALIST (PART-,02,Below 50K,STD Administration
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Program Administrator/Administrative Specialist, Bureau of Maternal Infant and Reproductive Health",PRINCIPAL ADMINISTRATIVE ASSOC,02,Below 50K,MIRH Newborn Home Visiting
DEPARTMENT OF FINANCE,External,Technical Manager,COMPUTER SYSTEMS MANAGER,M2,Above 50K,CAMA
DEPARTMENT OF FINANCE,Internal,Technical Manager,COMPUTER SYSTEMS MANAGER,M2,Above 50K,CAMA
DEPT OF HEALTH/MENTAL HYGIENE,External,"Supervising Medical Doctor, Bureau of School Health",CITY MEDICAL SPECIALIST (PART-,02,Below 50K,SH Medical
DEPT OF HEALTH/MENTAL HYGIENE,External,"City Medical Specialist, Bureau of STD Prevention and Control",CITY MEDICAL SPECIALIST (PART-,02,Below 50K,STD Administration
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Supervising Medical Doctor, Bureau of School Health",CITY MEDICAL SPECIALIST (PART-,02,Below 50K,SH Medical
HOUSING PRESERVATION & DVLPMNT,External,Construction Project Manager,CONSTRUCTION PROJECT MANAGER,02,Above 50K,Construction Services
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Administrative/OTPS Coordinator, Family and Child Health (FCH)",PROCUREMENT ANALYST,01,Below 50K,FCH Administration
DEPT OF HEALTH/MENTAL HYGIENE,External,"Administrative/OTPS Coordinator, Family and Child Health (FCH)",PROCUREMENT ANALYST,01,Below 50K,FCH Administration
DEPT OF ENVIRONMENT PROTECTION,Internal,"Director, EHS Performance Measurement and Continuous Improvement",ADMINISTRATIVE PUBLIC HEALTH S,M3,Above 50K,Dept of Environment Protection
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Social Worker, Bureau of Maternal Infant and Reproductive Health",SOCIAL WORKER,00,Below 50K,MIRH Newborn Home Visiting
DEPT OF HEALTH/MENTAL HYGIENE,External,"Social Worker, Bureau of Maternal Infant and Reproductive Health",SOCIAL WORKER,00,Below 50K,MIRH Newborn Home Visiting
NYC HOUSING AUTHORITY,Internal,Project manager,ADMINISTRATIVE PROJECT MANAGER,M2,Above 50K,Office of VP - Cap Proj
NYC HOUSING AUTHORITY,External,Project manager,ADMINISTRATIVE PROJECT MANAGER,M2,Above 50K,Office of VP - Cap Proj
DEPT OF ENVIRONMENT PROTECTION,External,"Director, EHS Performance Measurement and Continuous Improvement",ADMINISTRATIVE PUBLIC HEALTH S,M3,Above 50K,Dept of Environment Protection
DEPT OF INFO TECH & TELECOMM,Internal,Payroll Supervisor,COMMUNITY ASSOCIATE,00,Below 50K,Human Resources
NYC HOUSING AUTHORITY,External,"Deputy Director, Program Management / Energy & Sustainability",ADMINISTRATIVE CITY PLANNER,M3,Above 50K,VP for Energy & Sustainability
NYC HOUSING AUTHORITY,Internal,"Deputy Director, Program Management / Energy & Sustainability",ADMINISTRATIVE CITY PLANNER,M3,Above 50K,VP for Energy & Sustainability
DEPARTMENT OF BUILDINGS,Internal,Project Manager-Loft Board,STAFF ANALYST,01,Below 50K,Loft Board
LAW DEPARTMENT,Internal,Assistant Corporation Counsel,ASSISTANT CORPORATION COUNSEL,00,Above 50K,Special Federal Litigation-F
